,Element,Line,Type,Energy
540,Ag,Lb1,Emission Line,3150.0
1650,U,Ma,Emission Line,3163.8
524,Pd,"Lb2,15",Emission Line,3171.0
474,Ru,Lg2,Emission Line,3177.7
475,Ru,Lg3,Emission Line,3180.8
1543,Ra,Mg,Emission Line,3189.0
82,Ar,Kb3,Emission Line,3190.0
83,Ar,Kb1,Emission Line,3190.2
630,Sb,Ll,Emission Line,3192.0
535,Ag,Lb4,Emission Line,3202.2
88,K,Ka3,Emission Line,3229.8
536,Ag,Lb3,Emission Line,3233.0
1623,Pa,Mb,Emission Line,3240.0
1676,Np,Ma,Emission Line,3250.0
545,Ag,Lb6,Emission Line,3254.0
1569,Ac,Mg,Emission Line,3270.0
605,Sn,Ln,Emission Line,3271.3
587,In,La2,Emission Line,3278.6
588,In,La1,Emission Line,3286.1
89,K,Ka2,Emission Line,3311.1
90,K,Ka1,Emission Line,3313.8
562,Cd,Lb1,Emission Line,3315.1
519,Pd,Lg1,Emission Line,3328.0
654,Te,Ll,Emission Line,3335.0
1702,Pu,Ma,Emission Line,3339.0
1649,U,Mb,Emission Line,3339.8
546,Ag,"Lb2,15",Emission Line,3347.0
493,Rh,Lg2,Emission Line,3361.5
494,Rh,Lg3,Emission Line,3364.7
557,Cd,Lb4,Emission Line,3365.4
1595,Th,Mg,Emission Line,3370.8
558,Cd,Lb3,Emission Line,3399.6
567,Cd,Lb6,Emission Line,3428.2
1728,Am,Ma,Emission Line,3429.0
1675,Np,Mb,Emission Line,3435.0
609,Sn,La2,Emission Line,3435.8
627,Sb,Ln,Emission Line,3440.0
610,Sn,La1,Emission Line,3444.1
1621,Pa,Mg,Emission Line,3466.0
678,I,Ll,Emission Line,3485.0
584,In,Lb1,Emission Line,3486.6
541,Ag,Lg1,Emission Line,3520.0
1754,Cm,Ma,Emission Line,3525.0
568,Cd,"Lb2,15",Emission Line,3526.3
1701,Pu,Mb,Emission Line,3534.0
579,In,Lb4,Emission Line,3534.8
515,Pd,Lg2,Emission Line,3548.3
516,Pd,Lg3,Emission Line,3553.1
1647,U,Mg,Emission Line,3566.8
580,In,Lb3,Emission Line,3572.7
91,K,Kb3,Emission Line,3590.1
92,K,Kb1,Emission Line,3590.1
631,Sb,La2,Emission Line,3594.5
97,Ca,Ka3,Emission Line,3600.1
