Element,Line,Type,Energy
Br,La2,Sum Peak (2x),2960.0
Br,La1,Sum Peak (2x),2962.0
Se,Lb4,Sum Peak (2x),2971.0
Al,Ka2,Sum Peak (2x),2972.2
Al,Ka1,Sum Peak (2x),2973.0
Ag,La2,Emission Line,2977.0
Se,Lb3,Sum Peak (2x),2982.6
Ag,La1,Emission Line,2982.7
Pd,Lb1,Emission Line,2989.5
Cs,Lb3,Escape Peak (Si),3011.0
Pd,Lb4,Emission Line,3044.1
Br,Lb1,Sum Peak (2x),3052.0
Pd,Lb3,Emission Line,3071.7
Al,Kb3,Sum Peak (2x),3114.0
Al,Kb1,Sum Peak (2x),3114.0
Ce,La2,Escape Peak (Si),3120.6000000000004
Cd,La2,Emission Line,3126.1
Ba,Lb1,Escape Peak (Si),3128.3
Cd,La1,Emission Line,3132.8
V,Ka3,Escape Peak (Si),3138.3
Ce,La1,Escape Peak (Si),3139.2
Ag,Lb1,Emission Line,3150.0
Ba,Lb4,Escape Peak (Si),3152.0
Kr,La2,Sum Peak (2x),3166.8
Kr,La1,Sum Peak (2x),3169.2
Br,Lb4,Sum Peak (2x),3186.0
Ar,Kb3,Emission Line,3190.0
Ar,Kb1,Emission Line,3190.2
Br,Lb3,Sum Peak (2x),3200.0
Ag,Lb4,Emission Line,3202.2
Ba,Lb3,Escape Peak (Si),3226.0
K,Ka3,Emission Line,3229.8
Ag,Lb3,Emission Line,3233.0
Ti,Kb1,Escape Peak (Si),3233.3999999999996
Ti,Kb3,Escape Peak (Si),3233.3999999999996
V,Ka2,Escape Peak (Si),3245.2
V,Ka1,Escape Peak (Si),3252.8999999999996
Ti,Kb5,Escape Peak (Si),3264.0
Kr,Lb1,Sum Peak (2x),3271.8
In,La2,Emission Line,3278.6
In,La1,Emission Line,3286.1
K,Ka2,Emission Line,3311.1
K,Ka1,Emission Line,3313.8
Cd,Lb1,Emission Line,3315.1
Pr,La2,Escape Peak (Si),3315.7
Pr,La1,Escape Peak (Si),3335.2
La,Lb1,Escape Peak (Si),3338.0
La,Lb4,Escape Peak (Si),3357.0
Cd,Lb4,Emission Line,3365.4
Si,Ka3,Sum Peak (2x),3378.6
Rb,La2,Sum Peak (2x),3382.0
Rb,La1,Sum Peak (2x),3384.0
Kr,Lb4,Sum Peak (2x),3397.6
Cd,Lb3,Emission Line,3399.6
Kr,Lb3,Sum Peak (2x),3413.2
Sn,La2,Emission Line,3435.8
La,Lb3,Escape Peak (Si),3438.0
Sn,La1,Emission Line,3444.1
Si,Ka2,Sum Peak (2x),3478.4
Si,Ka1,Sum Peak (2x),3479.6
In,Lb1,Emission Line,3486.6
Rb,Lb1,Sum Peak (2x),3502.0
Nd,La2,Escape Peak (Si),3504.7
Nd,La1,Escape Peak (Si),3527.6000000000004
In,Lb4,Emission Line,3534.8
Ce,Lb1,Escape Peak (Si),3561.6000000000004
In,Lb3,Emission Line,3572.7
Ce,Lb4,Escape Peak (Si),3574.0
K,Kb3,Emission Line,3590.1
K,Kb1,Emission Line,3590.1
Cr,Ka3,Escape Peak (Si),3593.0
Sb,La2,Emission Line,3594.5
Ca,Ka3,Emission Line,3600.1
Sb,La1,Emission Line,3603.8
Sr,La2,Sum Peak (2x),3608.0
Sr,La1,Sum Peak (2x),3611.6
Rb,Lb4,Sum Peak (2x),3632.6
Rb,Lb3,Sum Peak (2x),3651.8
Ce,Lb3,Escape Peak (Si),3661.0
Sn,Lb1,Emission Line,3662.8
Si,Kb1,Sum Peak (2x),3674.0
Si,Kb3,Sum Peak (2x),3674.0
Ca,Ka2,Emission Line,3688.8
Ca,Ka1,Emission Line,3692.3
Cr,Ka2,Escape Peak (Si),3705.2
Pm,La2,Escape Peak (Si),3707.0
Sn,Lb4,Emission Line,3708.5
Cr,Ka1,Escape Peak (Si),3714.8999999999996
V,Kb3,Escape Peak (Si),3727.8
V,Kb1,Escape Peak (Si),3727.8
Pm,La1,Escape Peak (Si),3732.0
Sr,Lb1,Sum Peak (2x),3742.0
Sn,Lb3,Emission Line,3750.4
Te,La2,Emission Line,3757.6
V,Kb5,Escape Peak (Si),3763.0
Te,La1,Emission Line,3768.0
Pr,Lb1,Escape Peak (Si),3791.7
Pr,Lb4,Escape Peak (Si),3798.0
Sb,Lb1,Emission Line,3842.5
Y,La2,Sum Peak (2x),3844.6
Y,La1,Sum Peak (2x),3848.4
Sr,Lb4,Sum Peak (2x),3871.4
Sb,Lb4,Emission Line,3885.3
Sr,Lb3,Sum Peak (2x),3892.0
Pr,Lb3,Escape Peak (Si),3893.0
Sm,La2,Escape Peak (Si),3905.1000000000004
P,Ka3,Sum Peak (2x),3913.0
I,La2,Emission Line,3926.2
Sb,Lb3,Emission Line,3931.6
Sm,La1,Escape Peak (Si),3932.6000000000004
I,La1,Emission Line,3937.7
Sc,Ka3,Emission Line,3994.0
Y,Lb1,Sum Peak (2x),3996.6
Ca,Kb3,Emission Line,4013.1
Ca,Kb1,Emission Line,4013.1
Nd,Lb1,Escape Peak (Si),4018.7
P,Ka2,Sum Peak (2x),4019.0
P,Ka1,Sum Peak (2x),4021.0
Nd,Lb4,Escape Peak (Si),4023.0
Te,Lb1,Emission Line,4028.6
Te,Lb4,Emission Line,4068.2
Mn,Ka3,Escape Peak (Si),4069.8999999999996
Zr,La2,Sum Peak (2x),4083.8
Sc,Ka2,Emission Line,4088.4
Zr,La1,Sum Peak (2x),4088.4
Sc,Ka1,Emission Line,4093.3
Xe,La2,Emission Line,4097.0
Xe,La1,Emission Line,4109.6
Te,Lb3,Emission Line,4118.2
Eu,La2,Escape Peak (Si),4118.4
Y,Lb4,Sum Peak (2x),4124.8
