Element;Line;Type;Energy
S;K?3;Sum Peak (2x);4482.2
Sm;L?4;Escape Peak (Si);4496
Sm;L?1;Escape Peak (Si);4501.1
Ti;K?2;Emission Line;4505.8
Ti;K?1;Emission Line;4512.2
Xe;L?3;Emission Line;4512.4
Nb;L?1;Sum Peak (2x);4520
Tb;L?2;Escape Peak (Si);4537.1
Fe;K?3;Escape Peak (Si);4567.4
Tb;L?1;Escape Peak (Si);4572.9
Mo;L?2;Sum Peak (2x);4577.8
Mo;L?1;Sum Peak (2x);4584.2
S;K?2;Sum Peak (2x);4616.8
Sm;L?3;Escape Peak (Si);4617.2
Cs;L?1;Emission Line;4618.5
S;K?1;Sum Peak (2x);4619
La;L?2;Emission Line;4630
Cs;L?4;Emission Line;4643
Nb;L?4;Sum Peak (2x);4643.8
La;L?1;Emission Line;4647
Nb;L?3;Sum Peak (2x);4674.8
Fe;K?2;Escape Peak (Si);4692.1
Fe;K?1;Escape Peak (Si);4705.2
Cs;L?3;Emission Line;4711
Eu;L?4;Escape Peak (Si);4738
Dy;L?2;Escape Peak (Si);4757
Eu;L?1;Escape Peak (Si);4758.4
Mo;L?1;Sum Peak (2x);4787.8
Mn;K?1;Escape Peak (Si);4791.8
Mn;K?3;Escape Peak (Si);4791.8
Dy;L?1;Escape Peak (Si);4798
Ce;L?2;Emission Line;4820.6
Ba;L?1;Emission Line;4828.3
Mn;K?5;Escape Peak (Si);4837
V;K?3;Emission Line;4838.3
Tc;L?2;Sum Peak (2x);4838.8
Ce;L?1;Emission Line;4839.2
Tc;L?1;Sum Peak (2x);4846.2
Ba;L?4;Emission Line;4852
Eu;L?3;Escape Peak (Si);4871
Mo;L?4;Sum Peak (2x);4908.8
Ba;L?3;Emission Line;4926
S;K?3;Sum Peak (2x);4928
S;K?1;Sum Peak (2x);4930
Ti;K?3;Emission Line;4933.4
Ti;K?1;Emission Line;4933.4
Mo;L?3;Sum Peak (2x);4944
V;K?2;Emission Line;4945.2
V;K?1;Emission Line;4952.9
Ti;K?5;Emission Line;4964
Ho;L?2;Escape Peak (Si);4979
Gd;L?4;Escape Peak (Si);4988
Gd;L?1;Escape Peak (Si);5008.1
Pr;L?2;Emission Line;5015.7
Ho;L?1;Escape Peak (Si);5020
Pr;L?1;Emission Line;5035.2
La;L?1;Emission Line;5038
La;L?4;Emission Line;5057
Tc;L?1;Sum Peak (2x);5070.8
Co;K?3;Escape Peak (Si);5083.9
Cl;K?3;Sum Peak (2x);5104
Ru;L?2;Sum Peak (2x);5107.6
Ru;L?1;Sum Peak (2x);5116
Gd;L?3;Escape Peak (Si);5132
La;L?3;Emission Line;5138
Tc;L?4;Sum Peak (2x);5190.8
Nd;L?2;Emission Line;5204.7
Er;L?2;Escape Peak (Si);5205
Co;K?2;Escape Peak (Si);5215.8
